states,Transaction_Year,Transaction_Count,Transaction_Amount
Assam,2018,476050,884121118.8
Assam,2018,145945,230125281.8
Assam,2018,142195,208584968
Assam,2018,123735,189612378.3
Assam,2018,116196,252135800.7
Assam,2018,112726,148929589.8
Assam,2018,102867,189132040.9
Assam,2018,98822,173048841.6
Assam,2018,90928,155121755.8
Assam,2018,79724,118008412.3
Assam,2018,686010,1345451492
Assam,2018,435103,317973029.5
Assam,2018,225449,354675455.9
Assam,2018,193075,207853575.1
Assam,2018,187360,272342253.1
Assam,2018,165399,358549931.6
Assam,2018,162592,236088241.5
Assam,2018,144931,264346941.5
Assam,2018,127171,253718923.1
Assam,2018,120810,181651044.9
Assam,2019,1306775,2605380336
Assam,2019,265767,382986937
Assam,2019,262834,416977891.5
Assam,2019,206705,335675210.4
Assam,2019,205094,325387078.1
Assam,2019,197716,409811805.5
Assam,2019,180303,308520050.1
Assam,2019,162645,225891536.8
Assam,2019,147896,296016100.5
Assam,2019,129363,168832530.5
Assam,2019,2488968,5089657877
Assam,2019,231423,422774561.4
Assam,2019,228864,466786096.4
Assam,2019,192707,444337498.8
Assam,2019,177976,335126276.2
Assam,2019,176995,334724712.1
Assam,2019,169357,356524668.6
Assam,2019,148294,323303192.9
Assam,2019,130459,235342996.6
Assam,2019,129744,231878110.7
Assam,2019,2188998,6080999088
Assam,2019,262253,505242250.3
Assam,2019,258566,491551326.2
Assam,2019,257623,533288953
Assam,2019,242781,426502976.8
Assam,2019,230118,425077484.1
Assam,2019,222439,383883901.2
Assam,2019,196245,357008533.6
Assam,2019,167468,274329134.4
Assam,2019,121795,194779142.6
Assam,2019,2510384,7206165642
Assam,2019,298139,613461613.3
Assam,2019,295624,613479659.5
Assam,2019,287586,546184547.4
Assam,2019,273506,482197783.2
Assam,2019,255885,470389915.8
Assam,2019,249708,461559258.8
Assam,2019,224113,423685126.9
Assam,2019,185402,307700398
Assam,2019,139662,282003507.8
Assam,2020,3338601,10080547554
Assam,2020,383179,755509094.6
Assam,2020,375774,659702346.2
Assam,2020,367963,833078665.8
Assam,2020,360749,736229612.9
Assam,2020,322830,605538834.9
Assam,2020,317878,585327059.7
Assam,2020,286640,541758827
Assam,2020,232108,371072710.7
Assam,2020,179380,301335497.8
Assam,2020,2543890,7190215278
Assam,2020,521404,889592664.4
Assam,2020,519590,967512954.9
Assam,2020,510820,899403354.3
Assam,2020,461735,696378364.1
Assam,2020,448258,671325302.8
Assam,2020,447580,678491572.8
Assam,2020,420620,618021383.2
Assam,2020,306847,406689798
Assam,2020,290221,381486790
Assam,2020,4268591,13346088870
Assam,2020,553783,1306355860
Assam,2020,540972,1164586119
Assam,2020,535675,1153926434
Assam,2020,526945,1106487216
Assam,2020,487493,920279966.2
Assam,2020,445726,878646586.9
Assam,2020,442335,839411510.9
Assam,2020,315288,542788284.8
Assam,2020,278714,484885427.9
Assam,2020,5300547,16105922899
Assam,2020,724763,2053361856
Assam,2020,676306,1560923096
Assam,2020,667880,1665021996
Assam,2020,631601,1479167067
Assam,2020,623731,1434767202
Assam,2020,557203,1271039293
Assam,2020,543941,1209737014
Assam,2020,400452,815676507.5
Assam,2020,381733,1018165140
Assam,2021,9400818,24003716534
Assam,2021,768249,2378951523
Assam,2021,680608,1710571110
Assam,2021,675634,2019926209
Assam,2021,669242,1689369790
Assam,2021,614703,1577581913
Assam,2021,557802,1450662972
Assam,2021,480161,1160430412
Assam,2021,400249,1203600745
Assam,2021,388882,856404785.4
Assam,2021,12113618,26948905679
Assam,2021,1094358,2927546915
Assam,2021,928187,2446953429
Assam,2021,870918,1976153978
Assam,2021,848080,1929013771
Assam,2021,743120,1680050956
Assam,2021,737877,1686926641
Assam,2021,606143,1318534293
Assam,2021,544911,1475602701
Assam,2021,528440,1316708577
Assam,2021,16840668,36123082535
Assam,2021,1436928,3522432995
Assam,2021,1156024,2903215136
Assam,2021,1116075,2517711536
Assam,2021,1030160,2385666128
Assam,2021,998685,2285248943
Assam,2021,957373,2112276358
Assam,2021,726497,1620117007
Assam,2021,668723,1682447561
Assam,2021,650085,1747257316
Assam,2021,22903930,48177919267
Assam,2021,2145496,5341626360
Assam,2021,1599255,4181552743
Assam,2021,1489321,3247229901
Assam,2021,1437714,3119948216
Assam,2021,1424029,3288405319
Assam,2021,1326629,2906827876
Assam,2021,947815,2452971275
Assam,2021,924326,2099664801
Assam,2021,920783,2590433258
Assam,2022,28908435,60093746993
Assam,2022,2846523,7413611761
Assam,2022,2049272,5405490460
Assam,2022,1869862,4225305321
Assam,2022,1830668,3721424815
Assam,2022,1805856,3651941482
Assam,2022,1708845,3838019247
Assam,2022,1299073,3720380320
Assam,2022,1247298,3380205337
Assam,2022,1205741,2732173375
Assam,2022,37896005,70515346667
Assam,2022,3782074,8597920827
Assam,2022,2624899,6401629330
Assam,2022,2372318,4426557092
Assam,2022,2331103,4228702695
Assam,2022,2208886,4390976386
Assam,2022,2122755,4247651139
Assam,2022,1764727,3227701242
Assam,2022,1748061,4095843492
Assam,2022,1660385,4241626695
Assam,2022,39606017,69410860235
Assam,2022,4561028,9149960686
Assam,2022,3096898,5410346627
Assam,2022,2968058,6558107158
Assam,2022,2665315,5192449137
Assam,2022,2430234,4614592326
Assam,2022,2307181,3933628296
Assam,2022,2264530,3694675387
Assam,2022,2223747,4556385242
Assam,2022,2054687,4590076568
Assam,2022,48873033,84183380553
Assam,2022,5914147,12025232757
Assam,2022,3570910,5955878582
Assam,2022,3473735,6488564510
Assam,2022,3466436,7442294883
Assam,2022,3169492,6146128033
Assam,2022,2801543,5696918774
Assam,2022,2781759,4540236249
Assam,2022,2471469,5401152298
Assam,2022,2301942,4663672961
Bihar,2018,1197281,1282492051
Bihar,2018,388401,394717112.6
Bihar,2018,254643,264192918.5
Bihar,2018,231873,227470166.1
Bihar,2018,222241,213634124.8
Bihar,2018,217364,224628301.6
Bihar,2018,215866,236190496.6
Bihar,2018,208901,190613486
Bihar,2018,201678,211794626.3
Bihar,2018,201231,181378995
Bihar,2018,1650942,2328839156
Bihar,2018,554675,841276317.7
Bihar,2018,373033,650452550.6
Bihar,2018,324390,438042055.8
Bihar,2018,322140,569573309.7
Bihar,2018,316985,502582636
Bihar,2018,316405,471071129.4
Bihar,2018,306468,368156034.4
Bihar,2018,305553,542379988.9
Bihar,2018,286112,554829469.6
Bihar,2018,3360157,3873142431
Bihar,2018,959708,1265457842
Bihar,2018,919453,893929004
Bihar,2018,896006,768203889.8
Bihar,2018,701262,668806719.3
Bihar,2018,544285,921447417.6
Bihar,2018,427544,778844053
Bihar,2018,427385,660314110.8
Bihar,2018,422204,579615297.8
Bihar,2018,413648,764466707.8
Bihar,2018,3256138,4907266831
Bihar,2018,886640,1682571935
Bihar,2018,732175,1458571864
Bihar,2018,724866,1079658571
Bihar,2018,666931,846144772.8
Bihar,2018,582470,1215256333
Bihar,2018,534230,818426211.8
Bihar,2018,529944,1020002681
Bihar,2018,522642,964760831.6
Bihar,2018,515957,1142706538
Bihar,2019,7894598,11217940482
Bihar,2019,1262299,2061506662
Bihar,2019,1069790,1856147556
Bihar,2019,1025084,1460009336
Bihar,2019,946010,1077003029
Bihar,2019,938338,1627339577
Bihar,2019,879724,1104230103
Bihar,2019,792952,1239854737
Bihar,2019,763583,1448771358
Bihar,2019,749004,1174950626
Bihar,2019,13421445,26125484618
Bihar,2019,1260648,2730311714
Bihar,2019,937122,2207821270
Bihar,2019,919937,1718017779
Bihar,2019,754956,1807646307
Bihar,2019,727675,1822608072
Bihar,2019,710450,1254625996
Bihar,2019,706255,1503710720
Bihar,2019,689839,1830248521
Bihar,2019,660816,1511533675
Bihar,2019,13404838,29128507191
Bihar,2019,1526447,2988596104
Bihar,2019,1275920,1904955491
Bihar,2019,1028626,2348550131
Bihar,2019,835929,1574270005
Bihar,2019,802970,1893397262
Bihar,2019,794590,1810006587
Bihar,2019,768342,1481370487
Bihar,2019,734808,1272371591
Bihar,2019,732727,1815165090
Bihar,2019,17235243,37707384361
Bihar,2019,1900732,4136536726
Bihar,2019,1627240,2505031785
Bihar,2019,1432859,3375935182
Bihar,2019,1426896,1803708281
Bihar,2019,1130965,2726720274
